num_poste,nom_usuel,lat,lon,alti,aaaamm,rr,qrr,nbrr,rr_me,rrab,qrrab,rrabdat,nbjrr1,nbjrr5,nbjrr10,nbjrr30,nbjrr50,nbjrr100,pmerm,qpmerm,nbpmerm,pmerminab,qpmerminab,pmerminabdat,tx,qtx,nbtx,tx_me,txab,qtxab,txdat,txmin,qtxmin,txmindat,nbjtx0,nbjtx25,nbjtx30,nbjtx35,nbjtxi20,nbjtxi27,nbjtxs32,tn,qtn,nbtn,tn_me,tnab,qtnab,tndat,tnmax,qtnmax,tnmaxdat,nbjtn5,nbjtn10,nbjtni10,nbjtni15,nbjtni20,nbjtns20,nbjtns25,nbjgelee,tamplim,qtamplim,tampliab,qtampliab,tampliabdat,nbtampli,tm,qtm,nbtm,tmm,qtmm,nbtmm,nbjtms24,tmmin,qtmmin,tmmindat,tmmax,qtmmax,tmmaxdat,unab,qunab,unabdat,nbun,uxab,quxab,uxabdat,nbux,umm,qumm,nbum,tsvm,qtsvm,nbtsvm,etp,qetp,fxiab,qfxiab,dxiab,qdxiab,fxidat,nbjff10,nbjff16,nbjff28,nbfxi,fxi3sab,qfxi3sab,dxi3sab,qdxi3sab,fxi3sdat,nbjfxi3s10,nbjfxi3s16,nbjfxi3s28,nbfxi3s,fxyab,qfxyab,dxyab,qdxyab,fxyabdat,nbjfxy8,nbjfxy10,nbjfxy15,nbfxy,ffm,qffm,nbffm,inst,qinst,nbinst,nbsigma0,nbsigma20,nbsigma80,glot,qglot,nbglot,dift,qdift,nbdift,dirt,qdirt,nbdirt,hneigeftot,qhneigeftot,hneigefab,qhneigefab,hneigefdat,nbhneigef,nbjneig,nbjhneigef1,nbjhneigef5,nbjhneigef10,nbjsolng,neigetotm,qneigetotm,neigetotab,qneigetotab,neigetotabdat,nbjneigetot1,nbjneigetot10,nbjneigetot30,nbjgrel,nbjorag,nbjbrou
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202309,125,1,30,,41.1,1,18,7,5,4,2,0,0,,,0,,,,26.9,1,30,,32.5,1,9,18.7,1,23,0,22,10,0,2,15,3,13.3,1,30,,5.4,1,24,16.6,1,16,0,0,6,16,30,0,0,0,13.7,1,18.4,1,27,30,20.1,1,30,19.2,1,30,0,13.1,1,24,24.3,1,9,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202302,7.4,1,28,,4.6,1,22,2,0,0,0,0,0,,,0,,,,11.9,1,28,,17.3,1,21,3.4,1,26,0,0,0,0,28,28,0,-1.7,1,28,,-6.1,1,10,6.3,1,23,5,0,28,28,28,0,0,23,13.6,1,20.3,1,14,28,5.1,1,28,3.7,1,28,0,0.7,1,8,11.1,1,23,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202304,114.5,1,30,,24,1,1,15,7,5,0,0,0,,,0,,,,15.6,1,30,,24.1,1,28,9.2,1,15,0,0,0,0,27,30,0,5.1,1,30,,-1.6,1,6,14.4,1,29,0,0,27,30,30,0,0,3,10.5,1,18.2,1,9,30,10.4,1,30,9.9,1,30,0,6.3,1,4,18.4,1,28,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202310,214.7,1,31,,35.1,1,30,13,11,8,2,0,0,,,0,,,,20.3,1,31,,27.7,1,2,10.8,1,31,0,8,0,0,18,29,0,9.3,1,31,,4.3,1,17,14.4,1,14,0,0,19,31,31,0,0,0,11,1,18.9,1,9,31,14.8,1,31,13.7,1,31,0,9.4,1,30,18.9,1,2,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202301,75.4,1,31,,15.5,1,8,12,5,3,0,0,0,,,0,,,,6.6,1,31,,16.1,1,1,0.5,1,23,0,0,0,0,31,31,0,0.1,1,31,,-8.7,1,20,7.3,1,3,4,0,31,31,31,0,0,13,6.5,1,12.9,1,1,31,3.4,1,31,2.9,1,31,0,-3.2,1,21,10.3,1,5,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202307,33.3,1,31,,11.2,1,25,6,2,1,0,0,0,,,0,,,,29.4,1,31,,36.9,1,11,21.2,1,25,0,27,13,2,0,8,9,16.2,1,31,,10.1,1,27,22.6,1,19,0,0,0,12,27,4,0,0,13.2,1,21,1,23,31,22.8,1,31,22.6,1,31,10,17.5,1,26,27.5,1,11,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202306,63,1,30,,22.5,1,22,7,3,3,0,0,0,,,0,,,,28,1,30,,32.1,1,25,18.6,1,30,0,28,7,0,1,8,1,14.1,1,30,,10.2,1,6,17.9,1,21,0,0,0,18,30,0,0,0,13.9,1,18.5,1,17,30,21,1,30,20.9,1,30,0,17.5,1,30,24.5,1,21,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202303,144,1,31,,33.4,1,13,14,11,7,1,0,0,,,0,,,,13.8,1,31,,21.5,1,13,4.5,1,1,0,0,0,0,29,31,0,3.3,1,31,,-4.1,1,7,10.5,1,24,0,0,29,31,31,0,0,7,10.5,1,18.9,1,22,31,8.6,1,31,7.9,1,31,0,1.8,1,3,14.4,1,13,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202312,178.2,1,31,,33,1,12,16,11,7,2,0,0,,,0,,,,8.3,1,31,,12.6,1,10,1.9,1,2,0,0,0,0,31,31,0,1,1,31,,-4.5,1,3,9.7,1,12,0,0,31,31,31,0,0,14,7.2,1,13.7,1,27,31,4.7,1,31,3.8,1,31,0,-1.1,1,3,10.6,1,12,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202311,252.5,1,30,,41.9,1,30,20,14,10,2,0,0,,,0,,,,10.6,1,30,,14.6,1,14,5.9,1,28,0,0,0,0,30,30,0,3.8,1,30,,-3.6,1,26,11.5,1,14,0,0,29,30,30,0,0,6,6.8,1,13.3,1,8,30,7.2,1,30,6.6,1,30,0,2.2,1,26,13.1,1,14,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202305,47.2,1,31,,18.1,1,9,8,3,1,0,0,0,,,0,,,,21.6,1,31,,28.2,1,27,14.7,1,17,0,8,0,0,12,28,0,10,1,31,,5.3,1,3,14.7,1,24,0,0,16,31,31,0,0,0,11.6,1,17.7,1,4,31,15.8,1,31,15.6,1,31,0,11.8,1,17,19.9,1,27,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
74093001,CRAN-GEVRIER,45.910833,6.107833,426,202308,69,1,31,,53.7,1,26,7,2,1,1,1,0,,,0,,,,29.8,1,31,,39.5,1,24,15,1,28,0,22,18,8,4,13,16,15.7,1,31,,8.6,1,30,20.3,1,24,0,0,2,11,28,3,0,0,14.1,1,21.1,1,18,31,22.7,1,31,22.4,1,31,15,14.1,1,28,29.9,1,24,,,,0,,,,0,,,0,,,0,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,0,,,0,,,,,,0,,,0,,,0,,,,,,0,,,,,,,,,,,,,,,,
